attack,source,seed,baseline,poisoned,corrected,defense,asr_before,asr_after
label,historical,42,89.55,84.54,88.34,Cleanlab/legacy correction,,
label,historical,43,89.22,84.04,87.51,Cleanlab/legacy correction,,
label,historical,44,89.86,86.6,87.28,Cleanlab/legacy correction,,
backdoor,historical,42,89.55,89.99,89.52,known_trigger_signature,95.33333333333333,1.2222222222222223
backdoor,historical,43,89.21,90.95,90.11,known_trigger_signature,96.04444444444445,1.2777777777777777
backdoor,historical,44,89.86,90.88,86.81,known_trigger_signature,95.87777777777778,1.6888888888888889
backdoor,layered,42,89.35,89.99,89.24,ft_sam_0.10,96.37777777777778,63.84444444444444
backdoor,layered,43,90.24,90.47,89.49,fine_prune_0.20,96.36666666666666,93.0
backdoor,layered,44,87.24,89.2,88.12,ft_sam_0.05,96.17777777777778,94.0111111111111
label,layered,42,89.35,86.95,87.6,cleanlab_both_remove,,
label,layered,43,90.24,87.33,88.65,cleanlab_both_remove,,
label,layered,44,87.24,85.56,87.1,cleanlab_prune_by_noise_rate_remove,,
